Ref,Val,Package,PosX,PosY,Rot,Side
"","","",70.359566,-24.029446,0.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-133.450000,-25.250000,0.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-133.482976,-50.100000,0.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-133.582976,-75.150000,0.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-133.532976,-100.100000,0.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-133.532976,-125.100000,0.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-133.532976,-150.100000,0.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-133.532976,-175.100000,0.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-133.532976,-200.100000,0.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-108.900000,-25.100000,0.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-108.900000,-50.100000,0.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-108.900000,-75.100000,0.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-108.900000,-100.100000,0.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-108.900000,-125.100000,0.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-108.900000,-150.100000,0.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-108.900000,-175.100000,0.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-108.900000,-200.100000,0.000000,top
"D17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-83.682976,-25.100000,0.000000,top
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-83.682976,-50.100000,0.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-83.682976,-75.100000,0.000000,top
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-83.682976,-100.100000,0.000000,top
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-83.682976,-125.100000,0.000000,top
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-83.682976,-150.100000,0.000000,top
"D23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-83.682976,-175.100000,0.000000,top
"D24","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-83.682976,-200.100000,0.000000,top
"D25","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-58.900000,-25.100000,0.000000,top
"D26","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-58.900000,-50.100000,0.000000,top
"D27","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-58.900000,-75.100000,0.000000,top
"D28","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-58.900000,-100.100000,0.000000,top
"D29","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-58.900000,-125.100000,0.000000,top
"D30","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-58.900000,-150.100000,0.000000,top
"D31","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-58.900000,-175.100000,0.000000,top
"D32","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-58.900000,-200.100000,0.000000,top
"D33","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-33.732976,-25.300000,0.000000,top
"D34","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-33.732976,-50.300000,0.000000,top
"D35","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-33.732976,-75.300000,0.000000,top
"D36","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-33.732976,-100.300000,0.000000,top
"D37","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-33.732976,-125.300000,0.000000,top
"D38","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-33.732976,-150.300000,0.000000,top
"D39","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-33.732976,-175.300000,0.000000,top
"D40","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-33.732976,-200.300000,0.000000,top
"D41","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-8.900000,-25.100000,0.000000,top
"D42","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-8.900000,-50.100000,0.000000,top
"D43","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-8.900000,-75.100000,0.000000,top
"D44","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-8.900000,-100.100000,0.000000,top
"D45","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-8.900000,-125.100000,0.000000,top
"D46","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-8.900000,-150.100000,0.000000,top
"D47","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-8.900000,-175.100000,0.000000,top
"D48","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-8.900000,-200.100000,0.000000,top
"D49","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",16.100000,-25.100000,0.000000,top
"D50","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",16.100000,-50.100000,0.000000,top
"D51","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",16.100000,-75.100000,0.000000,top
"D52","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",16.100000,-100.100000,0.000000,top
"D53","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",16.100000,-125.100000,0.000000,top
"D54","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",16.100000,-150.100000,0.000000,top
"D55","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",16.100000,-175.100000,0.000000,top
"D56","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",16.100000,-200.100000,0.000000,top
"D57","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.100000,-25.100000,0.000000,top
"D58","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.100000,-50.100000,0.000000,top
"D59","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.100000,-75.100000,0.000000,top
"D60","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.100000,-100.100000,0.000000,top
"D61","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.100000,-125.100000,0.000000,top
"D62","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.100000,-150.100000,0.000000,top
"D63","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.100000,-175.100000,0.000000,top
